Location,pct
Alabama,0.77
Alaska,4.54
Arizona,6.02
Arkansas,1.12
California,1.87
Colorado,2.56
Connecticut,0.43
Delaware,0.56
District of Columbia,0.47
Florida,0.76
Georgia,0.81
Hawaii,5.19
Idaho,24.79
Illinois,0.45
Indiana,0.68
Iowa,0.89
Kansas,1.32
Kentucky,0.82
Louisiana,0.64
Maine,0.8
Maryland,0.7
Massachusetts,0.4
Michigan,0.45
Minnesota,0.58
Mississippi,0.74
Missouri,1.22
Montana,4.64
Nebraska,1.28
New Hampshire,0.65
New Jersey,0.37
New Mexico,3.27
New York,0.42
North Carolina,0.87
North Dakota,1.46
Ohio,0.53
Oklahoma,1.27
Oregon,3.54
Pennsylvania,0.4
Rhode Island,0.39
South Carolina,0.83
South Dakota,1.26
Tennessee,0.8
Texas,1.26
Utah,64.76
Vermont,0.72
Virginia,1.12
Washington,3.66
West Virginia,0.96
Wisconsin,0.47
Wyoming,11.65
